page,rank,accessibility_score,performance_score,seo_score,best_practices_score
https://gea-waldviertler.at/,1000000,0.84,0.49,0.92,0.96
https://dmd-browser.nhsbsa.nhs.uk/,1000000,1,0.94,0.91,1
https://www.wildernessfestival.com/,1000000,1,0.77,1,0.78
https://nesk.kg/,1000000,0.8,0.51,0.73,0.96
https://isseg.gob.mx/,1000000,0.74,0.44,0.77,0.74
https://www.signaturekitchensuite.com/,1000000,0.92,0.6,0.75,0.74
https://bsf.si/,1000000,0.93,0.7,1,1
https://gs.market/,1000000,0.73,0.28,0.92,0.56
https://community.exprogram.com/,1000000,0.89,0.47,0.75,0.59
https://unilink.pl/,1000000,0.84,0.41,0.85,0.67
https://printedwargames.com/,1000000,0.89,0.44,0.91,0.52
https://www.acmi.net.au/,1000000,0.87,0.35,0.92,1
https://boltiigayki.com.ua/,1000000,0.84,0.81,0.92,0.67
https://factnameh.com/,1000000,0.77,0.95,0.92,1
https://crelancodeals.be/,1000000,0.93,0.75,0.83,1
https://www.ifrr.edu.br/,1000000,0.85,0.56,0.82,0.96
https://danacita.co.id/,1000000,0.71,0.39,0.92,0.63
https://bijleshuis.be/,1000000,0.72,0.41,0.92,0.78
https://www.basketball.nl/,1000000,0.75,0.52,1,0.96
https://www.bilderberg.nl/,1000000,0.82,0.57,1,0.78
https://www.oxfamamerica.org/,1000000,0.92,0.47,1,0.74
https://homes.nlc.ca/,1000000,0.82,0.46,0.82,0.56
https://www.kaiserkraft.ro/,1000000,0.73,0.87,0.85,0.96
https://nierstichting.nl/,1000000,0.88,0.76,1,0.78
https://giveusashout.org/,1000000,0.94,0.8,0.92,0.81
https://wandelsportvlaanderen.be/,1000000,0.79,0.97,0.91,1
https://www.gnty.com/,1000000,0.89,0.65,0.92,0.56
https://www.pacegallery.com/,1000000,0.94,0.74,0.92,0.78
https://technotorg.com/,1000000,0.67,0.56,1,0.56
https://xn--b1aedfedwqbdfbnzkf0oe.xn--p1ai/,1000000,0.82,0.45,0.85,0.74
https://draganafitlife.mk/,1000000,0.79,0.31,1,0.56
https://trends.google.com.ua/,1000000,0.92,0.67,0.92,0.78
https://www.actionforchildren.org.uk/,1000000,0.92,0.75,0.91,0.78
https://www.kaiserkraft.cz/,1000000,0.73,0.9,0.85,0.96
https://www.liverc.com/,1000000,0.78,0.41,0.82,0.74
https://www.famaf.unc.edu.ar/,1000000,0.79,0.6,0.82,1
https://vokl.org/,1000000,0.74,0.27,0.83,0.78
https://lucknow.upmetrorail.com/,1000000,,0.48,1,0.96
https://donoreggbankusa.com/,1000000,0.9,0.76,0.92,0.74
https://sport050.nl/,1000000,1,0.61,1,0.74
https://kabar.kg/,1000000,0.85,0.58,0.91,0.78
https://health.google/,1000000,0.98,0.85,0.92,0.96
https://www.capc.org/,1000000,0.88,0.97,0.83,0.78
https://www.belykrolik.ru/,1000000,0.85,0.56,0.92,0.78
https://www.ljekarne-pavlic.hr/,1000000,0.68,0.75,1,0.78
https://uz.meest.cn/,1000000,0.8,0.36,0.92,0.74
https://medfac.mu-sofia.com/,1000000,0.91,0.72,0.82,0.96
https://www.tamuseum.org.il/,1000000,0.87,0.69,0.82,0.78
