Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,rn
Russian Federation (the),RUS,2025,Country or economy,Europe,Europe,0.0,0.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,449.73,3.75,0.84,1
Rwanda,RWA,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,353.98,-0.57,-0.16,1
"Saint Helena, Ascension and Tristan da Cunha",SHN,2023,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,1000.0,0.0,0.0,1
Saint Kitts and Nevis,KNA,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,608.7,-27.66,-4.35,1
Saint Lucia,LCA,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,650.0,0.0,0.0,1
Saint Pierre and Miquelon,SPM,2023,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,600.0,0.0,0.0,1
Saint Vincent and the Grenadines,VCT,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,600.0,0.0,0.0,1
Samoa,WSM,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,375.0,-25.0,-6.25,1
Sao Tome and Principe,STP,2023,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,555.56,0.0,0.0,1
Saudi Arabia,SAU,2024,Country or economy,Asia,Middle East,0.0,0.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,691.95,-5.36,-0.77,1
Senegal,SEN,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,539.97,-17.35,-3.11,1
Serbia,SRB,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,695.8,29.4,4.41,1
Seychelles,SYC,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,555.56,-8.96,-1.59,1
Sierra Leone,SLE,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,47.62,0.0,0.0,1
Singapore,SGP,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,498.74,-2.13,-0.43,1
Slovakia,SVK,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,94.85,-1.7,-1.76,1
Slovenia,SVN,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,183.29,-47.11,-20.45,1
Solomon Islands,SLB,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,636.36,0.0,0.0,1
Somalia,SOM,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,511.63,-12.18,-2.33,1
South Africa,ZAF,2024,Country or economy,Africa,Africa,0.0,0.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,717.36,2.96,0.41,1
South Korea,KOR,2024,Country or economy,Asia,Asia,0.0,1.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,415.51,-11.78,-2.76,1
South Sudan,SSD,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,642.86,0.0,0.0,1
Spain,ESP,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,153.6,7.38,5.05,1
Sri Lanka,LKA,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,378.44,-38.89,-9.32,1
Sudan (the),SDN,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,153.69,7.58,5.19,1
Suriname,SUR,2024,Country or economy,South America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,321.84,3.92,1.23,1
Sweden,SWE,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,35.26,0.35,1.0,1
