pre_release,version,downloads_count
7.0,5.1rc1,15
7.0,5.1.3,678
7.0,5.1.2,120
7.0,5.1.1,829
7.0,5.1,194
7.0,5.0rc1,8
7.0,5.0.5,3764
7.0,5.0.4,46
7.0,5.0.3,47
7.0,5.0.2,191
7.0,5.0.1,259
7.0,5,282
7.0,4.2rc1,10
7.0,4.2.4,615
7.0,4.2.3,69
7.0,4.2.2,156
7.0,4.2.1,70
7.0,4.2,141
7.0,4.1rc1,12
7.0,4.1.9,489
7.0,4.1.8,46
7.0,4.1.7,41
7.0,4.1.6,51
7.0,4.1.5,60
7.0,4.1.4,52
7.0,4.1.3,71
7.0,4.1.2,42
7.0,4.1.1,586
7.0,4.1,104
7.0,4.0rc2,15
7.0,4.0rc1,15
7.0,4.0.4,216
7.0,4.0.3,38
7.0,4.0.2,59
7.0,4.0.1,44
7.0,4,102
7.0,3.0rc3,9
7.0,3.0rc2,11
7.0,3.0rc1,10
7.0,3.0.3,1225
7.0,3.0.2,41
7.0,3.0.1,355
7.0,3,188
7.0,2.9rc1,14
7.0,2.9.3,200
7.0,2.9.2,37
7.0,2.9.1,40
7.0,2.9,190
7.0,2.8rc1,11
7.0,2.8.2,85
7.0,2.8.1,38
7.0,2.8,62
7.0,2.7rc2,10
7.0,2.7rc1,7
7.0,2.7.4,165
7.0,2.7.3,30
7.0,2.7.2,32
7.0,2.7.1,62
7.0,2.7,75
7.0,2.6rc1,7
7.0,2.6.3,136
7.0,2.6.2,38
7.0,2.6.1,27
7.0,2.6,34
7.0,2.5rc1,13
7.0,2.5.2,48
7.0,2.5.1,29
7.0,2.5,29
7.0,2.4rc1,6
7.0,2.4,69
7.0,2.3rc2,13
7.0,2.3rc1,23
7.0,2.3,51
7.0,2.2rc2,7
7.0,2.2rc1,8
7.0,2.2.2,102
7.0,2.2.1,34
7.0,2.2,32
7.0,2.1rc2,16
7.0,2.1rc1,14
7.0,2.16rc2,6
7.0,2.16rc1,6
7.0,2.16.3,1004
7.0,2.16.2,134
7.0,2.16.1,139
7.0,2.16,73
7.0,2.15rc2,9
7.0,2.15rc1,9
7.0,2.15.6,516
7.0,2.15.5,71
7.0,2.15.4,106
7.0,2.15.3,85
7.0,2.15.2,238
7.0,2.15.1,1321
7.0,2.15,83
