month,installer,ci,num_downloads
2025-05-01 00:00:00.000000 UTC,Nexus,,316
2025-05-01 00:00:00.000000 UTC,pdm,,144
2025-05-01 00:00:00.000000 UTC,OS,,15
2025-05-01 00:00:00.000000 UTC,devpi,,12
2025-05-01 00:00:00.000000 UTC,conda,,2
2025-05-01 00:00:00.000000 UTC,setuptools,,2
2025-05-01 00:00:00.000000 UTC,Artifactory,,2
2025-05-01 00:00:00.000000 UTC,Bazel,,1
2025-06-01 00:00:00.000000 UTC,pip,,389267
2025-06-01 00:00:00.000000 UTC,pip,true,98268
2025-06-01 00:00:00.000000 UTC,uv,true,42883
2025-06-01 00:00:00.000000 UTC,poetry,,34523
2025-06-01 00:00:00.000000 UTC,uv,,27507
2025-06-01 00:00:00.000000 UTC,requests,,3745
2025-06-01 00:00:00.000000 UTC,,,3671
2025-06-01 00:00:00.000000 UTC,bandersnatch,,2953
2025-06-01 00:00:00.000000 UTC,Browser,,1627
2025-06-01 00:00:00.000000 UTC,Nexus,,284
2025-06-01 00:00:00.000000 UTC,pdm,,83
2025-06-01 00:00:00.000000 UTC,setuptools,,58
2025-06-01 00:00:00.000000 UTC,devpi,,26
2025-06-01 00:00:00.000000 UTC,OS,,23
2025-07-01 00:00:00.000000 UTC,pip,,222566
2025-07-01 00:00:00.000000 UTC,pip,true,78561
2025-07-01 00:00:00.000000 UTC,uv,true,61871
2025-07-01 00:00:00.000000 UTC,uv,,36864
2025-07-01 00:00:00.000000 UTC,poetry,,32608
2025-07-01 00:00:00.000000 UTC,bandersnatch,,4697
2025-07-01 00:00:00.000000 UTC,,,3627
2025-07-01 00:00:00.000000 UTC,requests,,3543
2025-07-01 00:00:00.000000 UTC,Browser,,1328
2025-07-01 00:00:00.000000 UTC,Nexus,,328
2025-07-01 00:00:00.000000 UTC,pdm,,216
2025-07-01 00:00:00.000000 UTC,OS,,77
2025-07-01 00:00:00.000000 UTC,devpi,,10
2025-08-01 00:00:00.000000 UTC,pip,,228067
2025-08-01 00:00:00.000000 UTC,uv,true,67426
2025-08-01 00:00:00.000000 UTC,pip,true,60068
2025-08-01 00:00:00.000000 UTC,uv,,35958
2025-08-01 00:00:00.000000 UTC,,,27555
2025-08-01 00:00:00.000000 UTC,poetry,,27344
2025-08-01 00:00:00.000000 UTC,requests,,7509
2025-08-01 00:00:00.000000 UTC,bandersnatch,,7037
2025-08-01 00:00:00.000000 UTC,Browser,,1133
2025-08-01 00:00:00.000000 UTC,Nexus,,218
2025-08-01 00:00:00.000000 UTC,devpi,,81
2025-08-01 00:00:00.000000 UTC,pdm,,47
2025-08-01 00:00:00.000000 UTC,OS,,32
2025-08-01 00:00:00.000000 UTC,setuptools,,3
